ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
ATAPL-69918-00001,ATAPL-69918-00001,,,3M NRH 4O/2E ROV CE HARNESS ASSY (RIB),3M NRH 4O/2E ROV CE HARNESS ASSY (RIB),Teledyne ODI,1070073,1070073-1,N/A,20121001,17950,
ATAPL-69919-00001,ATAPL-69919-00001,,,3M NRH 4O/2E ROV BULKHEAD HARNESS ASSY (RIB),3M NRH 4O/2E ROV BULKHEAD HARNESS ASSY (RIB),Teledyne ODI,1070074,1070074-1,N/A,20121001,14752,
ATAPL-69946-00001,ATAPL-69946-00001,,,,,,,,,,,Missing from inventory
ATAPL-69946-00002,ATAPL-69946-00002,,,,,,,,,,,Missing from inventory
ATAPL-69946-00003,ATAPL-69946-00003,,,Dell Precision R5500 rack mount computer  (O&M),Dell Precision R5500 rack mount computer  (O&M),Dell,R5500,BK7VGX1,N/A,20130628,5896.94,
ATAPL-69947-00001,ATAPL-69947-00001,,,Titanium slip ring,Titanium slip ring,SCHLEIFRING,69947,1/3/13,N/A,20130422,17155.24,
ATAPL-69947-00002,ATAPL-69947-00002,,,Titanium slip ring,Titanium slip ring,SCHLEIFRING,69947,1/5/14,N/A,20140709,19000,
ATAPL-69947-00003,ATAPL-69947-00003,,,Titanium slip ring,Titanium slip ring,SCHLEIFRING,69947,2/5/14,N/A,20140709,19000,
ATAPL-69947-00004,ATAPL-69947-00004,,,Titanium slip ring,Titanium slip ring,SCHLEIFRING,69947,3/5/14,N/A,20140709,19000,
ATAPL-69947-00005,ATAPL-69947-00005,,,Titanium slip ring,Titanium slip ring,SCHLEIFRING,69947,4/7/14,N/A,20140721,19000,
ATAPL-69947-00006,ATAPL-69947-00006,,,Titanium slip ring,Titanium slip ring,SCHLEIFRING,69947,5/7/14,N/A,20140721,19000,
ATAPL-69950-00001,ATAPL-69950-00001,,,300 m reel of First Article underwater electromechanical cable,300 m reel of First Article underwater electromechanical cable,SOUTH BAY CABLE CORP.,70154 VER2.0,1,N/A,20130108,14000,
ATAPL-69953-00001,ATAPL-69953-00001,,,Fluke Networks OTDR,Fluke Networks OTDR,FLUKE,OFP-100-SI,2171006,N/A,20121004,13446,
ATAPL-69953-00002,ATAPL-69953-00002,,,Fluke Networks OTDR,Fluke Networks OTDR,FLUKE,OFP-100-S,2217094,N/A,20130724,10125.25,
ATAPL-70101-00001,ATAPL-70101-00001,,,CAMDS: Pan & Tilt unit (ATAPL-58317-00001),CAMDS: Pan & Tilt unit (ATAPL-58317-00001),Kongsberg Underwater Technology Inc,OE10-102-T,,,20130619,21238,
ATAPL-70101-00002,ATAPL-70101-00002,,,CAMDS: Pan & Tilt unit (ATAPL-58317-00002),CAMDS: Pan & Tilt unit (ATAPL-58317-00002),Kongsberg Underwater Technology Inc,OE10-102-T,,,20130619,21238,
ATAPL-70101-00003,ATAPL-70101-00003,,,CAMDS: Pan & Tilt unit (ATAPL-58317-00003),CAMDS: Pan & Tilt unit (ATAPL-58317-00003),Kongsberg Underwater Technology Inc,OE10-102-T,,,20130619,21238,
ATAPL-70101-00004,ATAPL-70101-00004,,,CAMDS: Pan & Tilt unit  (O&M) (ATAPL-58317-00004),CAMDS: Pan & Tilt unit  (O&M) (ATAPL-58317-00004),Kongsberg Underwater Technology Inc,OE10-102-T,,,20131101,21238,
ATAPL-70103-00001,ATAPL-70103-00001,,,CAMDS: Laser Reference Unit (ATAPL-58317-00001),CAMDS: Laser Reference Unit (ATAPL-58317-00001),Kongsberg Underwater Technology Inc,0484-6003,,,20130619,14302,
ATAPL-70103-00002,ATAPL-70103-00002,,,CAMDS: Laser Reference Unit (ATAPL-58317-00002),CAMDS: Laser Reference Unit (ATAPL-58317-00002),Kongsberg Underwater Technology Inc,0484-6003,,,20130619,14302,
ATAPL-70103-00003,ATAPL-70103-00003,,,CAMDS: Laser Reference Unit (ATAPL-58317-00003),CAMDS: Laser Reference Unit (ATAPL-58317-00003),Kongsberg Underwater Technology Inc,0484-6003,,,20130619,14302,
ATAPL-70103-00004,ATAPL-70103-00004,,,CAMDS: Laser Reference Unit (O&M) (ATAPL-58317-00004),CAMDS: Laser Reference Unit (O&M) (ATAPL-58317-00004),Kongsberg Underwater Technology Inc,0484-6003,,,20131101,14302,
ATAPL-70104-0001A,ATAPL-70104-0001A,,,CAMDS: Interconnecting Cable Set (ATAPL-58317-00001),CAMDS: Interconnecting Cable Set (ATAPL-58317-00001),Kongsberg Underwater Technology Inc,0484-6006,,,20130619,5750,
ATAPL-70104-0002A,ATAPL-70104-0002A,,,CAMDS: Interconnecting Cable Set (ATAPL-58317-00002),CAMDS: Interconnecting Cable Set (ATAPL-58317-00002),Kongsberg Underwater Technology Inc,0484-6006,,,20130619,5750,
ATAPL-70104-0003A,ATAPL-70104-0003A,,,CAMDS: Interconnecting Cable Set (ATAPL-58317-00003),CAMDS: Interconnecting Cable Set (ATAPL-58317-00003),Kongsberg Underwater Technology Inc,0484-6006,,,20130619,5750,
ATAPL-70104-0004A,ATAPL-70104-0004A,,,CAMDS: Interconnecting Cable Set  (O&M) (ATAPL-58317-00004),CAMDS: Interconnecting Cable Set  (O&M) (ATAPL-58317-00004),Kongsberg Underwater Technology Inc,0484-6006,,,20131101,5750,
ATAPL-70105-00001,ATAPL-70105-00001,,,CAMDS: Underwater Junction Box (ATAPL-58317-00001),CAMDS: Underwater Junction Box (ATAPL-58317-00001),Kongsberg Underwater Technology Inc,0484-6004,,,20130619,10620,
ATAPL-70105-00002,ATAPL-70105-00002,,,CAMDS: Underwater Junction Box (ATAPL-58317-00002),CAMDS: Underwater Junction Box (ATAPL-58317-00002),Kongsberg Underwater Technology Inc,0484-6004,,,20130619,10620,
ATAPL-70105-00003,ATAPL-70105-00003,,,CAMDS: Underwater Junction Box (ATAPL-58317-00003),CAMDS: Underwater Junction Box (ATAPL-58317-00003),Kongsberg Underwater Technology Inc,0484-6004,,,20130619,10620,
ATAPL-70105-00004,ATAPL-70105-00004,,,CAMDS: Underwater Junction Box (O&M) (ATAPL-58317-00004),CAMDS: Underwater Junction Box (O&M) (ATAPL-58317-00004),Kongsberg Underwater Technology Inc,0484-6004,,,20131101,10620,
ATAPL-70106-00001,ATAPL-70106-00001,,,Lander Platform for OOI Digital Stills Camera,Lander Platform for OOI Digital Stills Camera,WILLIAMSON,Custom,N/A,N/A,20130715,19920,
ATAPL-70106-00002,ATAPL-70106-00002,,,Lander Platform for OOI Digital Stills Camera (O&M),Lander Platform for OOI Digital Stills Camera (O&M),WILLIAMSON,Custom,N/A,N/A,20130715,19920,
ATAPL-70106-00003,ATAPL-70106-00003,,,Lander Platform for OOI Digital Stills Camera,Lander Platform for OOI Digital Stills Camera,WILLIAMSON,Custom,N/A,N/A,20150609,20787,
ATAPL-70106-00004,ATAPL-70106-00004,,,Lander Platform for OOI Digital Stills Camera,Lander Platform for OOI Digital Stills Camera,WILLIAMSON,Custom,N/A,N/A,20150609,20787,
ATAPL-70114-00005,ATAPL-70114-00005,,,,,,,,,,,Missing from inventory
ATAPL-70123-00001,ATAPL-70123-00001,,,"John Crane 1.5"" Mechanical Seal including rotating head ass'y, stationary face, and gland plate","John Crane 1.5"" Mechanical Seal including rotating head ass'y, stationary face, and gland plate",John Crane,M197358,H175051831955 rev A,N/A,20130123,5290.4,
ATAPL-70123-00002,ATAPL-70123-00002,,,"John Crane 1.5"" Mechanical Seal","John Crane 1.5"" Mechanical Seal",John Crane,M197358,N/A,N/A,20140606,5290,
ATAPL-70123-00003,ATAPL-70123-00003,,,"John Crane 1.5"" Mechanical Seal","John Crane 1.5"" Mechanical Seal",John Crane,M197358,N/A,N/A,20140606,5290,
ATAPL-70123-00004,ATAPL-70123-00004,,,"John Crane 1.5"" Mechanical Seal","John Crane 1.5"" Mechanical Seal",John Crane,M197358,N/A,N/A,20140606,5290,
ATAPL-70123-00005,ATAPL-70123-00005,,,"John Crane 1.5"" Mechanical Seal","John Crane 1.5"" Mechanical Seal",John Crane,M197358,N/A,N/A,20140606,5290,
ATAPL-70123-00006,ATAPL-70123-00006,,,"John Crane 1.5"" Mechanical Seal","John Crane 1.5"" Mechanical Seal",John Crane,M197358,N/A,N/A,20140606,5290,
ATAPL-70123-00007,ATAPL-70123-00007,,,"John Crane 1.5"" Mechanical Seal","John Crane 1.5"" Mechanical Seal",John Crane,M197358,N/A,N/A,20140606,5290,
ATAPL-70129-00004,ATAPL-70129-00004,,,Convert P-IES Version 6.2A Unites to version 6.2C with special RSN AUX Port Configuration (Hardware and Firmware),Convert P-IES Version 6.2A Unites to version 6.2C with special RSN AUX Port Configuration (Hardware and Firmware),URI/APL-UW,PIES 6.2C with Digiquartz pressure,179,,20150416,8172,
ATAPL-70129-00005,ATAPL-70129-00005,,,Convert P-IES Version 6.2A Unites to version 6.2C with special RSN AUX Port Configuration (Hardware and Firmware),Convert P-IES Version 6.2A Unites to version 6.2C with special RSN AUX Port Configuration (Hardware and Firmware),URI/APL-UW,,,,20150416,8172,
ATAPL-70150-00001,ATAPL-70150-00001,,,Machine LP J-Box housing cylinder per attached drawing #4813-70150,Machine LP J-Box housing cylinder per attached drawing #4813-70150,APL/UW,70150,1,N/A,20130301,5000,
ATAPL-70150-00002,ATAPL-70150-00002,,,Machine LP J-Box housing cylinder per attached drawing #4813-70150,Machine LP J-Box housing cylinder per attached drawing #4813-70150,APL/UW,70150,2,N/A,20130301,5000,
ATAPL-70150-00003,ATAPL-70150-00003,,,Machine LP J-Box housing cylinder per attached drawing #4813-70150,Machine LP J-Box housing cylinder per attached drawing #4813-70150,APL/UW,70150,3,N/A,20130301,5000,
ATAPL-70150-00004,ATAPL-70150-00004,,,Machine LP J-Box housing cylinder per attached drawing #4813-70150,Machine LP J-Box housing cylinder per attached drawing #4813-70150,APL/UW,70150,4,N/A,20130301,5000,
ATAPL-70150-00005,ATAPL-70150-00005,,,Machine LP J-Box housing cylinder per attached drawing #4813-70150,Machine LP J-Box housing cylinder per attached drawing #4813-70150,APL/UW,70150,5,N/A,20130301,5000,
ATAPL-70150-00006,ATAPL-70150-00006,,,Machine LP J-Box housing cylinder per attached drawing #4813-70150,Machine LP J-Box housing cylinder per attached drawing #4813-70150,APL/UW,70150,6,N/A,20130301,5000,
ATAPL-70150-00007,ATAPL-70150-00007,,,Machine LP J-Box housing cylinder per attached drawing #4813-70150,Machine LP J-Box housing cylinder per attached drawing #4813-70150,APL/UW,70150,7,N/A,20130301,5000,
ATAPL-70150-00008,ATAPL-70150-00008,,,Machine LP J-Box housing cylinder per attached drawing #4813-70150,Machine LP J-Box housing cylinder per attached drawing #4813-70150,APL/UW,70150,8,N/A,20130301,5000,
ATAPL-70150-00009,ATAPL-70150-00009,,,Machine LP J-Box housing cylinder per attached drawing #4813-70150,Machine LP J-Box housing cylinder per attached drawing #4813-70150,APL/UW,70150,9,N/A,20130712,5000,
ATAPL-70150-00010,ATAPL-70150-00010,,,Machine LP J-Box housing cylinder per attached drawing #4813-70150,Machine LP J-Box housing cylinder per attached drawing #4813-70150,APL/UW,70150,10,N/A,20130712,5000,
ATAPL-70150-00011,ATAPL-70150-00011,,,Machine LP J-Box housing cylinder per attached drawing #4813-70150,Machine LP J-Box housing cylinder per attached drawing #4813-70150,APL/UW,70150,11,N/A,20130712,5000,
ATAPL-70150-00012,ATAPL-70150-00012,,,Machine LP J-Box housing cylinder per attached drawing #4813-70150,Machine LP J-Box housing cylinder per attached drawing #4813-70150,APL/UW,70150,12,N/A,20130712,5000,
ATAPL-70150-00013,ATAPL-70150-00013,,,Machine LP J-Box housing cylinder per attached drawing #4813-70150,Machine LP J-Box housing cylinder per attached drawing #4813-70150,APL/UW,70150,13,N/A,20130712,5000,
ATAPL-70150-00014,ATAPL-70150-00014,,,Machine LP J-Box housing cylinder per attached drawing #4813-70150,Machine LP J-Box housing cylinder per attached drawing #4813-70150,APL/UW,70150,14,N/A,20130712,5000,
ATAPL-70150-00015,ATAPL-70150-00015,,,Machine LP J-Box housing cylinder per attached drawing #4813-70150,Machine LP J-Box housing cylinder per attached drawing #4813-70150,APL/UW,70150,15,N/A,20141015,5000,
ATAPL-70156-00001,ATAPL-70156-00001,,,10M ROV Mateable Underwater Electrical Connector Jumper Assembly,10M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1070188,1070188-1,N/A,20121220,6681,
ATAPL-70156-00002,ATAPL-70156-00002,,,10M ROV Mateable Underwater Electrical Connector Jumper Assembly,10M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1070188,1070188-2,N/A,20121220,6681,
ATAPL-70156-00003,ATAPL-70156-00003,,,10M ROV Mateable Underwater Electrical Connector Jumper Assembly,10M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1070188,1070188-3,N/A,20121220,6681,
ATAPL-70156-00004,ATAPL-70156-00004,,,10M ROV Mateable Underwater Electrical Connector Jumper Assembly,10M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1070188,1070188-4,N/A,20121220,6681,
ATAPL-70156-00005,ATAPL-70156-00005,,,,,,,,,,,Missing from inventory
ATAPL-70156-00006,ATAPL-70156-00006,,,,,,,,,,,Missing from inventory
ATAPL-70156-00007,ATAPL-70156-00007,,,10M ROV Mateable Underwater Electrical Connector Jumper Assembly,10M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1070188,1070188-5,N/A,20121220,6681,
ATAPL-70156-00008,ATAPL-70156-00008,,,10M ROV Mateable Underwater Electrical Connector Jumper Assembly,10M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1070188,1070188-8,N/A,20140730,6381,
ATAPL-70156-00009,ATAPL-70156-00009,,,10M ROV Mateable Underwater Electrical Connector Jumper Assembly,10M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1070188,1070188-9,N/A,20140730,6381,
ATAPL-70156-00010,ATAPL-70156-00010,,,10M ROV Mateable Underwater Electrical Connector Jumper Assembly,10M ROV Mateable Underwater Electrical Connector Jumper Assembly,Teledyne ODI,1070188,1070188-10,N/A,20140730,6381,
ATAPL-70159-00001,ATAPL-70159-00001,,,"25M ROV OBS Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug","25M ROV OBS Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug",Teledyne ODI,1070189,1070189-1,N/A,20121025,9806,
ATAPL-70159-00002,ATAPL-70159-00002,,,"25M ROV OBS Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug","25M ROV OBS Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug",Teledyne ODI,1070189,1070189-2,N/A,20121025,9806,
ATAPL-70159-00003,ATAPL-70159-00003,,,"25M ROV OBS Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug","25M ROV OBS Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug",Teledyne ODI,1070189,1070189-3,N/A,20121016,9806,
ATAPL-70159-00004,ATAPL-70159-00004,,,"25M ROV OBS Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug","25M ROV OBS Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug",Teledyne ODI,1070189,1070189-4,N/A,20121016,9806,
ATAPL-70159-00005,ATAPL-70159-00005,,,"25M ROV OBS Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug","25M ROV OBS Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug",Teledyne ODI,1070189,1070189-5,N/A,20130531,9806,
ATAPL-70159-00006,ATAPL-70159-00006,,,"25M ROV OBS Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug","25M ROV OBS Electrical Jumper Assembly, 12-Way ROV CE Plug to ROV CE Plug",Teledyne ODI,1070189,1070189-6,N/A,20130531,9806,
ATAPL-70161-00001,ATAPL-70161-00001,,,ODI 4O/2E ROV RETRIEVABLE NRH DUMMY PROTECTION RECEPTABLE NO ELECTRICAL INSERTS TITANIUM,ODI 4O/2E ROV RETRIEVABLE NRH DUMMY PROTECTION RECEPTABLE NO ELECTRICAL INSERTS TITANIUM,Teledyne ODI,1065580,1065580-17,N/A,20120806,10539,
ATAPL-70169-00001,ATAPL-70169-00001,,,Aquorea LED in Ti housing per attached delivery order,Aquorea LED in Ti housing per attached delivery order,SubC IMAGING,"Aquorea LED, Ti housing",SUBC12108,,20130304,5100,
ATAPL-70169-00002,ATAPL-70169-00002,,,Aquorea LED in Ti housing per attached delivery order,Aquorea LED in Ti housing per attached delivery order,SubC IMAGING,"Aquorea LED, Ti housing",SUBC12110,,20130304,5100,
ATAPL-70169-00003,ATAPL-70169-00003,,,Aquorea LED in Ti housing per attached delivery order,Aquorea LED in Ti housing per attached delivery order,SubC IMAGING,"Aquorea LED, Ti housing",SUBC12098,,20130603,5100,
ATAPL-70169-00004,ATAPL-70169-00004,,,Aquorea LED in Ti housing per attached delivery order,Aquorea LED in Ti housing per attached delivery order,SubC IMAGING,"Aquorea LED, Ti housing",SUBC12099,,20130603,5100,
ATAPL-70169-00005,ATAPL-70169-00005,,,Aquorea LED in Ti housing per attached delivery order,Aquorea LED in Ti housing per attached delivery order,SubC IMAGING,"Aquorea LED, Ti housing",SUBC12100,,20130603,5100,
ATAPL-70169-00006,ATAPL-70169-00006,,,Aquorea LED in Ti housing per attached delivery order,Aquorea LED in Ti housing per attached delivery order,SubC IMAGING,"Aquorea LED, Ti housing",SUBC12109,,20130603,5100,
ATAPL-70170-00001,ATAPL-70170-00001,,,PT-25 Subsea Pan/Tilt: PT-25FB TI 24VDC RS485 OIL 160:1 GRS,PT-25 Subsea Pan/Tilt: PT-25FB TI 24VDC RS485 OIL 160:1 GRS,ROS,PT-25,70501,,20130102,34125,
ATAPL-70170-00002,ATAPL-70170-00002,,,PT-25 Subsea Pan/Tilt: PT-25FB TI 24VDC RS485 OIL 160:1 GRS,PT-25 Subsea Pan/Tilt: PT-25FB TI 24VDC RS485 OIL 160:1 GRS,ROS,PT-25,70502,,20130102,34125,
ATAPL-70170-00003,ATAPL-70170-00003,,,PT-25 Subsea Pan/Tilt: PT-25FB TI 24VDC RS485 OIL 160:1 GRS,PT-25 Subsea Pan/Tilt: PT-25FB TI 24VDC RS485 OIL 160:1 GRS,ROS,PT-25,70503,,20130102,34125,
ATAPL-70202-00001,ATAPL-70202-00001,,,Subsurface Mooring Float,Subsurface Mooring Float,DEEP Water Bouyancy,"62"" HYDRO-FLOAT MOORING BUOY (1500M)",1,N/A,20140106,15000,
ATAPL-70202-00002,ATAPL-70202-00002,,,"Custom 62"" Hydro-Float Mooring Buoy (1500m)","Custom 62"" Hydro-Float Mooring Buoy (1500m)",DEEP Water Bouyancy,"62"" HYDRO-FLOAT MOORING BUOY (1500M)",2,N/A,20140530,20788,
ATAPL-70202-00003,ATAPL-70202-00003,,,"Custom 62"" Hydro-Float Mooring Buoy (1500m)","Custom 62"" Hydro-Float Mooring Buoy (1500m)",DEEP Water Bouyancy,"62"" HYDRO-FLOAT MOORING BUOY (1500M)",3,N/A,20140530,20788,
ATAPL-70202-00004,ATAPL-70202-00004,,,"Custom 62"" Hydro-Float Mooring Buoy (1500m)","Custom 62"" Hydro-Float Mooring Buoy (1500m)",DEEP Water Bouyancy,"62"" HYDRO-FLOAT MOORING BUOY (1500M)",4,N/A,20140530,20788,
ATAPL-70214-00001,ATAPL-70214-00001,,,"GRADE 5 FORGING, 14""dia x 45""L TITANIUM #1","GRADE 5 FORGING, 14""dia x 45""L TITANIUM #1",APL/UW,70214,N/A,N/A,20110802,28000,
ATAPL-70214-00002,ATAPL-70214-00002,,,"GRADE 5 FORGING, 14""dia x 45""L TITANIUM #1","GRADE 5 FORGING, 14""dia x 45""L TITANIUM #1",APL/UW,70214,N/A,N/A,20110802,28000,
ATAPL-70214-00003,ATAPL-70214-00003,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20120126,29500,
ATAPL-70214-00004,ATAPL-70214-00004,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20120126,29500,
ATAPL-70214-00005,ATAPL-70214-00005,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20120906,27000,
ATAPL-70214-00006,ATAPL-70214-00006,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20120906,27000,
ATAPL-70214-00007,ATAPL-70214-00007,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20120906,27000,
ATAPL-70214-00008,ATAPL-70214-00008,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20120906,27000,
ATAPL-70214-00009,ATAPL-70214-00009,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20120906,27000,
ATAPL-70214-00010,ATAPL-70214-00010,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20121227,25000,
ATAPL-70214-00011,ATAPL-70214-00011,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20121227,25000,
ATAPL-70214-00012,ATAPL-70214-00012,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20121227,25000,
ATAPL-70214-00013,ATAPL-70214-00013,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20121227,25000,
ATAPL-70214-00014,ATAPL-70214-00014,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20121227,25000,
ATAPL-70214-00015,ATAPL-70214-00015,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20121227,25000,
ATAPL-70214-00016,ATAPL-70214-00016,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20121227,25000,
ATAPL-70214-00017,ATAPL-70214-00017,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20121227,25000,
ATAPL-70214-00018,ATAPL-70214-00018,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4311-67617-2,N/A,20130418,23200,
ATAPL-70214-00019,ATAPL-70214-00019,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20130409,25000,
ATAPL-70214-00020,ATAPL-70214-00020,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20130409,25000,
ATAPL-70214-00021,ATAPL-70214-00021,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20130409,25000,
ATAPL-70214-00022,ATAPL-70214-00022,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20130409,25000,
ATAPL-70214-00023,ATAPL-70214-00023,,,"GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615","GRADE 5 FORGING 14"" dia x 45"" long Ti 6Al-4V to spec #4311-67617, Dwg #4905-67615",APL/UW,70214,4905-67615,N/A,20130409,25000,
ATAPL-70219-00001,ATAPL-70219-00001,,,L3 CCA: CSH LVN-0PA PCB,L3 CCA: CSH LVN-0PA PCB,L-3,Custom,112900-100,N/A,20110808,25833,
ATAPL-70219-00002,ATAPL-70219-00002,,,L3 CCA: CSH LVN-0PA PCB,L3 CCA: CSH LVN-0PA PCB,L3,112900-100,2,N/A,20111010,25833,
ATAPL-70219-00003,ATAPL-70219-00003,,,L3 CCA: CSH LVN-0PA PCB,L3 CCA: CSH LVN-0PA PCB,L-3,Custom,112900-100,N/A,20111010,25833,
ATAPL-70219-00004,ATAPL-70219-00004,,,L3 CCA: CSH LVN-0PA PCB,L3 CCA: CSH LVN-0PA PCB,L3,112900-100,4,N/A,20111010,25833,
ATAPL-70219-00005,ATAPL-70219-00005,,,L3 CCA: CSH LVN-0PA PCB,L3 CCA: CSH LVN-0PA PCB,L3,112900-100,5,N/A,20110808,25833,
