ASSET_UID,TYPE,Mobile,Geometry,DESCRIPTION OF EQUIPMENT,QUANT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,Source of the Equipment/Award No. or PO No.,Whether Title Vests in Recipient or Federal Gov,LOCATION,ROOM NUMBER/CUSTODY,COND.,ACQUISITION DATE,ORIGINAL COST,PERCENTAGE OF FEDERAL PARTICIPATION,comments,primary_tag_date,primary_tag_organization,primary_institute_asset_tag,secondary_tag_date,second_tag_organization,institute_asset_tag,doi_tag_date,doi_tag_organization,doi_institute_asset_tag
ATAPL-68941-00006,,,,"CONNECTOR END CAP, PIC",,APL/UW,68941,6,N/A,120904015,O.L.,UW,VISIONS2014:MJ03A,A,20121220,32078,100%,,20121220,UW,N/A,,,,,,
ATAPL-69110-00001,,,,"MAIN FLOAT, MOORING PLATFORM, 3000M ADDITION",,Deep Water Bouyancy,69110,1,N/A,120904015,O.L.,UW,SP:HEO5:P2,A,20121220,32078,100%,,20121220,UW,N/A,,,,,,
ATAPL-69110-00002,,,,"MAIN FLOAT, MOORING PLATFORM, 3000M ADDITION",,deep Water Bouyancy,69110,2,N/A,120904015,O.L.,UW,SP:HEO5:P1,A,20121220,32078,100%,,20121220,UW,N/A,,,,,,
ATAPL-69115-00001,,,,"FLOTATION BLOCK, TOP, SHALLOW  PIA",,deep Water Bouyancy,69115,1,N/A,120904015,O.L.,UW,SP:C120:SHOP,A,20121220,32078,100%,,20121220,UW,N/A,,,,,,
ATAPL-69131-00001,,,,Shallow Profiler Frame Weldment,,APL/UW,69131,1,N/A,120904015,O.L.,UW,VISIONS2014:MJ03D,A,20121220,32078,100%,,20121220,UW,N/A,,,,,,
ATAPL-69131-00002,,,,FRAME ASSEMBLY WELDMENT,,APL/UW,69131,2,N/A,120904015,O.L.,UW,VISIONS2014:MJ03B,A,20121221,32078,100%,,20121221,UW,N/A,,,,,,
ATAPL-69131-00003,,,,FRAME ASSEMBLY WELDMENT,,APL/UW,69131,3,N/A,120904015,O.L.,UW,VISIONS2014:MJ03F,A,20121221,32078,100%,,20121221,UW,N/A,,,,,,
ATAPL-69131-00004,,,,FRAME ASSEMBLY WELDMENT,,APL/UW,69131,4,N/A,120904015,O.L.,UW,VISIONS2014:MJ03C,A,20121221,32078,100%,,20121221,UW,N/A,,,,,,
ATAPL-69131-00005,,,,FRAME ASSEMBLY WELDMENT,,APL/UW,69131,5,N/A,120904015,O.L.,UW,VISIONS2014:MJ03C,A,20121221,32078,100%,,20121221,UW,N/A,,,,,,
ATAPL-69133-00001,,,,"WINCH FRAME, BAIL ASSEMBLY",,APL/UW,69133,1,N/A,120904015,O.L.,UW,VISIONS2014:MJ01B,A,20121221,32078,100%,,20121221,UW,N/A,,,,,,
ATAPL-69133-00002,,,,"WINCH FRAME, BAIL ASSEMBLY",,APL/UW,69133,2,N/A,120904015,O.L.,UW,VISIONS2014:MJ01B,A,20121224,32078,100%,,20121224,UW,N/A,,,,,,
ATAPL-69133-00003,,,,"WINCH FRAME, BAIL ASSEMBLY",,APL/UW,69133,3,N/A,120904015,O.L.,UW,VISIONS2014:MJ01A,A,20121224,32078,100%,,20121224,UW,N/A,,,,,,
ATAPL-69133-00004,,,,"WINCH FRAME, BAIL ASSEMBLY",,APL/UW,69133,4,N/A,120904015,O.L.,UW,VISIONS2014:MJ01A,A,20121224,32078,100%,,20121224,UW,N/A,,,,,,
ATAPL-69133-00005,,,,,,,,,N/A,131217024,O.L.,UW,SP:C120,A,20140709,32078,100%,,20140709,UW,N/A,,,,,,
ATAPL-69133-00006,,,,"WINCH FRAME, BAIL ASSEMBLY",,APL/UW,69133,5,N/A,131218024,O.L.,UW,SP:C120,A,20140709,32078,100%,,20140709,UW,N/A,,,,,,
ATAPL-69133-00007,,,,"WINCH FRAME, BAIL ASSEMBLY",,APL/UW,69133,6,N/A,131217024,O.L.,UW,SP:C120,A,20140709,32078,100%,,20140709,UW,N/A,,,,,,
ATAPL-69133-00008,,,,"WINCH FRAME, BAIL ASSEMBLY",,APL/UW,69133,7,N/A,131217024,O.L.,UW,SP:C120,A,20140709,32078,100%,,20140709,UW,N/A,,,,,,
ATAPL-69133-00009,,,,"WINCH FRAME, BAIL ASSEMBLY",,APL/UW,69133,8,N/A,130810001,O.L.,UW,VISIONS2014,A,20140407,32078,100%,,20140407,UW,N/A,,,,,,
ATAPL-69133-00010,,,,"WINCH FRAME, BAIL ASSEMBLY",,APL/UW,69133,9,N/A,130810001,O.L.,UW,VISIONS2014,A,20140407,32078,100%,,20140407,UW,N/A,,,,,,
ATAPL-69133-00011,,,,"WINCH FRAME, BAIL ASSEMBLY",,APL/UW,69133,10,N/A,111213012,O.L.,UW,HH:3F301A:SIANI,A,,44257,100%,,HH:3F301A:SIANI,UW,N/A,,,,,,
ATAPL-69190-00001,,,,"END CAP, SHAFT END, WINCH MOTOR HOUSING",,APL/UW,69190,1,N/A,140307010,O.L.,UW,BH:1F123:TILLEY,A,,44257,100%,,BH:1F123:TILLEY,UW,N/A,,,,,,
